Question_ID,Answer_score,Author_Name,Author_ID,Author_Rep,Number_of_Comments,Answer_accepted
235989,0,Shraddha Sharma,235989,21,0,False
380147,1,rzmg,380147,11,2,False
350711,0,Hu12345,350711,13,0,False
380538,0,A non-statistician engineer,380538,1,0,False
358344,0,Bruce Murdock,358344,1,0,False
109101,0,Physkid,109101,207,0,False
380535,0,heyjude123,380535,1,0,False
371099,0,alyx,371099,53,0,False
208995,0,Oalvinegro,208995,265,0,False
308275,1,Diorne,308275,11,5,False
263327,0,Lasuiqw,263327,113,1,False
380532,1,Cyril Dubovetsky,380532,11,0,False
380448,0,Erkaya Mustafa,380448,1,0,False
29021,0,TeTs,29021,827,0,False
10876,0,Arrigo Benedetti,10876,465,0,False
72079,0,AliceD,72079,207,0,False
115495,1,Arsen Zahray,115495,111,5,False
83518,0,Alejandro Hirmas,83518,1,0,False
368452,0,Gabraltur,368452,23,2,False
380492,0,Seille,380492,1,4,False
380489,1,Atefeh,380489,11,1,False
53084,1,rep_ho,53084,"7,033",1,False
380486,1,Akshat Agarwal,380486,11,1,False
380199,1,kerolet,380199,11,0,False
380483,0,Nic,380483,1,0,False
314215,0,tony13s,314215,21,5,False
380478,0,VIBHOR SINGAL,380478,1,1,False
189701,0,Plop,189701,133,4,False
365215,1,EmilA,365215,11,0,False
163114,0,jay.sf,163114,651,0,False
